iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
26,1.1098337173461914,-527.0063339247661,7.643160261878233,-514.8900789221312,-536.0727960916051,0.5,0.15319312226327392,0.1,0.002329587936401367,0.046271562576293945,0.049361702,0.65495706,-534.9201028478194,-0.10188007890577348,-0.12450486685438138,0.5,0.061790047752354124,74,0.0027229785919189453,0.9998597779210909,0.9998597779210909,2027,-576.5138050875678,0.49999999999999994
27,1.1282808780670166,-532.9860423381505,7.048904664692989,-520.9161981565061,-538.2240652090909,0.5,0.153612848331926,0.1,0.007601022720336914,0.047345638275146484,0.05206234,0.7301531,-534.7266967968525,-0.08967079018529432,-0.15901306215500255,0.5,0.062032905226223706,81,0.00316619873046875,0.9998576553986608,0.9998576553986608,2108,-568.6255677458706,0.49999999999999994
28,1.1011004447937012,-535.9963230615867,10.777257119745434,-520.9257013093953,-547.8273248187427,0.5,0.13682378710788165,0.1,0.0022890567779541016,0.04518437385559082,0.051302552,0.9503696,-534.8536594233259,-0.1241048379104085,-0.16918775805906702,0.5,0.06271442179710189,69,0.0026769638061523438,0.9998610293844357,0.9998610293844357,2177,-566.5094890301622,0.49999999999999994
29,1.0896847248077393,-534.9642959947121,8.660587433479556,-521.2412988639331,-544.7325726550337,0.375,0.14424851786397574,0.1,0.0023996829986572266,0.046384334564208984,0.049786482,0.8548794,-534.8647230804645,-0.09872388764935072,-0.1664542467067512,0.375,0.06208162285495075,77,0.0031824111938476562,0.9998594384295961,0.9998594384295961,2254,-546.3468783519088,0.49999999999999994
30,1.1077876091003418,-541.7075499229627,5.658517239925562,-533.787507312709,-549.6325316809757,0.25,0.1350333009884584,0.1,0.0022971630096435547,0.06382966041564941,0.051268145,1.0760385,-535.5490057647144,-0.11225867319204794,-0.1993875374317618,0.25,0.06142568894728723,71,0.002987384796142578,0.999860552948045,0.999860552948045,2325,-549.7581336038535,0.49999999999999994
31,1.0822689533233643,-540.0409733368074,8.761049154195586,-528.9946691966052,-553.4010941732352,0.5,0.16216094745684947,0.1,0.0028333663940429688,0.0519106388092041,0.051140763,0.6483947,-535.9982025219236,-0.10230759500150695,-0.19030690901382974,0.5,0.06056845397395854,90,0.0033903121948242188,0.9998608658299444,0.9998608658299444,2415,-550.2287574123297,0.49999999999999994
32,1.283707618713379,-531.4059400669819,8.038446607491991,-521.3293215312964,-542.7367486976705,0.5,0.15158089184015613,0.1,0.002414226531982422,0.04645204544067383,0.04921392,0.7000252,-535.5389762764295,-0.08990412225865732,-0.1507994839921191,0.5,0.06058710454331387,73,0.0026764869689941406,0.9998589917677674,0.9998589917677674,2488,-549.6861104466199,0.49999999999999994
33,1.319551944732666,-528.6034137770545,6.292266538148274,-519.5547579263184,-536.4371703065353,0.5,0.15823335375533865,0.1,0.0023581981658935547,0.047257423400878906,0.050527368,0.8819479,-534.845420026492,-0.08748019911171359,-0.13612321062198351,0.5,0.06038922479802848,79,0.0029370784759521484,0.999859066750584,0.999859066750584,2567,-549.4655410188169,0.49999999999999994
34,1.3479301929473877,-529.3731515888044,1.774739623137721,-527.12451705582,-532.0984088821482,0.5,0.14247440716715756,0.1,0.002313375473022461,0.07289934158325195,0.051053874,0.8401824,-534.2981931827233,-0.09812473690326766,-0.13936367156416474,0.5,0.06199078392404321,72,0.0034003257751464844,0.9998587920806356,0.9998587920806356,2639,-549.641760325714,0.49999999999999994
35,1.0706257820129395,-533.3224970067643,6.228589716259995,-523.946618506644,-539.2183996893423,0.375,0.14752935207856907,0.1,0.0023450851440429688,0.04720473289489746,0.049751487,0.950204,-534.2006235651273,-0.10852657904356908,-0.15812280952518834,0.375,0.0625684707388963,73,0.002892017364501953,0.9998592115893374,0.9998592115893374,2712,-548.8638077014847,0.49999999999999994
36,1.107367992401123,-531.0915476054104,7.2017325263618845,-522.618696814993,-542.5360987625943,0.375,0.14337435091362885,0.1,0.002288341522216797,0.0464022159576416,0.050188955,1.0718874,-533.8897159691556,-0.10435731687550337,-0.1476793966049545,0.375,0.06161427169987715,72,0.002867460250854492,0.9998571689973044,0.9998571689973044,2784,-557.6598146851286,0.49999999999999994
37,1.1959877014160156,-540.0610466594071,5.211334087417943,-534.7607016868739,-547.2436903655175,0.25,0.1570912948337837,0.1,0.03048419952392578,0.04627704620361328,0.05013045,0.7854708,-534.5068490381808,-0.09519165127233493,-0.19265923835851997,0.25,0.06098807712946937,79,0.0028171539306640625,0.9998578785395359,0.9998578785395359,2863,-546.1466152886283,0.49999999999999994
38,1.1048216819763184,-537.2624652212623,5.161352077001002,-531.7464938083534,-545.558129468784,0.375,0.1649648677581651,0.1,0.0023212432861328125,0.04881930351257324,0.05087212,0.6967588,-534.782410656489,-0.1084523764727459,-0.17880563905560845,0.375,0.061177173905516954,82,0.0029730796813964844,0.9998598493098191,0.9998598493098191,2945,-543.6798403060293,0.49999999999999994
39,1.2422094345092773,-536.6950309318486,3.139009608003661,-532.6247424735491,-541.4470263459893,0.375,0.1491446574838651,0.1,0.002296924591064453,0.047005414962768555,0.04872899,0.99468243,-534.9736726840249,-0.11247043602999282,-0.17618425966078052,0.375,0.062241473402891545,79,0.003047466278076172,0.9998578061099298,0.9998578061099298,3024,-568.4895885406498,0.49999999999999994
40,1.2878165245056152,-538.9958882141733,10.348211609257486,-521.2450765567428,-546.9967351970187,0.375,0.15376841867608126,0.1,0.020615100860595703,0.04636526107788086,0.050293267,0.83283997,-535.3758942370398,-0.0951901080484795,-0.18765281995850552,0.375,0.06185249943118888,86,0.002946138381958008,0.9998597674266027,0.9998597674266027,3110,-597.7513351401225,0.49999999999999994
41,1.2612957954406738,-542.990025564864,2.2762863451514903,-540.5804559024161,-546.5842439166836,0.125,0.16188509398181386,0.1,0.006784915924072266,0.04911661148071289,0.050212465,0.8303299,-536.1373073698222,-0.09780879084553404,-0.20752596298696058,0.125,0.06134189017222592,79,0.003176450729370117,0.9998610868018708,0.9998610868018708,3189,-593.0752296639606,0.49999999999999994
42,1.2156000137329102,-541.5247717353107,3.243131328978167,-537.53090002175,-546.0281580647364,0.25,0.15250805486506228,0.1,0.0024712085723876953,0.04769754409790039,0.050730128,0.7602685,-536.6760538063711,-0.09274423676288221,-0.20039114262576038,0.25,0.06286293641596431,85,0.002859354019165039,0.9998595322481426,0.9998595322481426,3274,-605.3740124947017,0.49999999999999994
43,1.169175624847412,-537.1057324216383,4.024905157794937,-530.5354879972682,-540.3985802113046,0.375,0.17273845113953235,0.1,0.0023741722106933594,0.04736757278442383,0.050858725,0.637653,-536.7190216678978,-0.09949731829620245,-0.17605659443887145,0.375,0.0606004986335368,90,0.002941608428955078,0.9998579438199797,0.9998579438199797,3364,-602.1189419535675,0.49999999999999994
44,1.2486448287963867,-533.2116457486044,6.348530944115233,-524.937934844568,-541.7553499650701,0.5,0.16938216250314922,0.1,0.002292156219482422,0.04716682434082031,0.04956702,0.8161819,-536.3682840759684,-0.09291654400292453,-0.15885069095034857,0.5,0.0614241889696572,81,0.0025787353515625,0.999857198449548,0.999857198449548,3445,-592.9636717588248,0.49999999999999994
45,1.081944465637207,-544.440432173744,4.289160502366709,-538.7052388400516,-550.1219789984401,0.125,0.1651221192734398,0.1,0.002495288848876953,0.048455238342285156,0.049691517,0.64632994,-537.1754988857459,-0.10127527250213973,-0.21261883321443828,0.125,0.06356643734017348,86,0.0027840137481689453,0.9998598237798195,0.9998598237798195,3531,-592.1543231428635,0.49999999999999994
46,1.120753288269043,-540.255267143596,11.49647518585907,-521.5394626642499,-552.5952861960429,0.375,0.1613429762269938,0.1,0.0024001598358154297,0.0489346981048584,0.050510064,0.89998204,-537.4834757115309,-0.10186360218699206,-0.1931019030381499,0.375,0.060858003729571494,86,0.0031006336212158203,0.9998591036611227,0.9998591036611227,3617,-591.1711034011638,0.49999999999999994
47,1.0438239574432373,-539.8021266613598,7.069956880593039,-533.6814363149977,-551.3669416022473,0.375,0.15941250463328308,0.1,0.0024542808532714844,0.04761624336242676,0.05092147,0.6445854,-537.7153408065138,-0.108514746777392,-0.19042497975967304,0.375,0.06075489102562136,85,0.0026803016662597656,0.9998572184916422,0.9998572184916422,3702,-591.5788059288888,0.49999999999999994
48,1.3974084854125977,-531.5047570634323,2.5501734189614407,-527.7566513905696,-534.756119157466,0.5,0.14486088254922772,0.1,0.0024251937866210938,0.047209978103637695,0.050312698,0.8638028,-537.0942824322058,-0.10486865963259687,-0.1495041356977288,0.5,0.06208949490798592,78,0.002915620803833008,0.9998572279592539,0.9998572279592539,3780,-571.5648203017441,0.49999999999999994
