iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,effort,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
26,1.0874700546264648,-530.5875339513163,3.429523058105851,-525.9666132550656,-535.1309856444608,0.5,0.13792705682134246,0.1,0.002101898193359375,0.04178500175476074,0.051310882,0.8597699,-534.7722405663486,-0.10337370894839724,-0.1433864497673234,0.5,0.06071197648863966,72,0.002217531204223633,1.0002730969326354,1.0002730969326354,1975,-563.7044132525009,0.49999999999999994
27,1.1123225688934326,-531.6729922751326,13.399527613436016,-509.75917313412,-544.1158189426103,0.5,0.15186725009080504,0.1,0.002311229705810547,0.04320406913757324,0.05161286,0.7273563,-534.4623157372271,-0.10076130984975722,-0.14926467565716556,0.5,0.0625325560671045,81,0.0027513504028320312,1.0002720993623886,1.0002720993623886,2056,-560.7016629301428,0.49999999999999994
28,1.069836139678955,-534.461264107357,8.347784360872268,-526.955096805361,-547.2569267564327,0.375,0.1393710896906439,0.1,0.002115011215209961,0.043012380599975586,0.050838504,0.7739336,-534.4622105742401,-0.09617341874746074,-0.16422424553542023,0.375,0.06182964247107434,71,0.002336740493774414,1.0002730129739026,1.0002730129739026,2127,-565.8071617389376,0.49999999999999994
29,1.0700616836547852,-537.800435529602,9.922407240231587,-524.2682454175911,-551.272495785438,0.375,0.141956132712018,0.1,0.0021483898162841797,0.04379701614379883,0.050194316,0.7259624,-534.7960330697763,-0.12051212793628849,-0.17812216461751823,0.375,0.06223858812271037,73,0.0023484230041503906,1.0002705955401556,1.0002705955401556,2200,-565.4362829080447,0.49999999999999994
30,0.9976873397827148,-539.5155525225186,5.23198589085455,-531.433314509647,-544.6167514859325,0.25,0.1373339742879457,0.1,0.0021638870239257812,0.0708622932434082,0.051246822,0.8217341,-535.2679850150505,-0.09527295779781424,-0.19015159950985777,0.25,0.0595652635427272,77,0.0037543773651123047,1.0002734485851297,1.0002734485851297,2277,-570.8174495457032,0.49999999999999994
31,1.0509631633758545,-533.1951057201081,4.609039201856475,-527.0291849810603,-539.5685013732704,0.5,0.14951350069021208,0.1,0.12101173400878906,0.16713905334472656,0.05081697,0.7147648,-535.0606970855563,-0.09246930534347861,-0.1577788944848832,0.5,0.06188596703860295,83,0.0030219554901123047,1.0002735809501808,1.0002735809501808,2360,-571.2016165611857,0.49999999999999994
32,1.0897741317749023,-528.4013159410657,7.252697619077699,-520.3670274424919,-539.8270325253137,0.5,0.1552179941177121,0.1,0.10907602310180664,0.3908553123474121,0.050743636,0.7655544,-534.3947589711072,-0.0823752947546593,-0.13515834939590896,0.5,0.05982003645764271,76,0.002868175506591797,1.0002748921215117,1.0002748921215117,2436,-571.5958838458935,0.49999999999999994
33,1.0905189514160156,-531.549071596188,6.206365795288535,-521.7130649121982,-536.8787254087265,0.5,0.1531192720444592,0.1,0.0024068355560302734,0.04428696632385254,0.05048238,0.79764366,-534.1101902336153,-0.09267985427588532,-0.1508381094479775,0.5,0.05938663606166067,79,0.0026216506958007812,1.0002720110449081,1.0002720110449081,2515,-554.7760464642383,0.49999999999999994
34,1.0677587985992432,-528.6612812111913,3.3270371907480514,-523.2377950114749,-531.9018183905569,0.5,0.14228439602726675,0.1,0.0019445419311523438,0.03823399543762207,0.05064192,1.5099187,-533.5652993313729,-0.0898277195374392,-0.1353924068538756,0.5,0.062100117468790295,76,0.002792835235595703,1.0002739227289565,1.0002739227289565,2591,-551.7937835991271,0.49999999999999994
35,1.0846290588378906,-528.7871791906839,6.046944949381781,-520.8603902535982,-536.6691500626196,0.375,0.13965322835907143,0.1,0.0017647743225097656,0.04147005081176758,0.050113477,0.9683755,-533.0874873173041,-0.10670193815717746,-0.1355973222721717,0.375,0.06266011045263896,72,0.0026144981384277344,1.0002711249247291,1.0002711249247291,2663,-549.3370041885138,0.49999999999999994
